x,y,width,height,scores.neutral,scores.happiness,scores.surprise,scores.sadness,scores.anger,scores.disgust,scores.fear,scores.contempt
0.4,0.277174,0.159375,0.277174,0.856825,0.141584,3.30145e-5,6.4716e-4,8.99019e-6,1.00154e-5,6.6989e-8,8.91219e-4
0.4,0.277174,0.159375,0.277174,0.830419,0.168126,3.19759e-5,4.82335e-4,9.47719e-6,9.60293e-6,4.82767e-8,9.22018e-4
0.396875,0.277174,0.159375,0.277174,0.825493,0.173151,4.21891e-5,5.18412e-4,8.59919e-6,9.1066e-6,6.1879e-8,7.78135e-4
0.396875,0.277174,0.159375,0.277174,0.841471,0.156918,4.60542e-5,6.58608e-4,1.16616e-5,1.21154e-5,5.75703e-8,8.8191e-4
0.396875,0.277174,0.159375,0.277174,0.86122,0.137199,4.31811e-5,5.98974e-4,1.11841e-5,9.77655e-6,6.85545e-8,9.18152e-4
0.396875,0.277174,0.159375,0.277174,0.806061,0.19255,4.3691e-5,3.92762e-4,1.10261e-5,1.0596e-5,5.22294e-8,9.30803e-4
0.396875,0.282609,0.159375,0.277174,0.961836,0.0343709,6.19116e-5,0.00187818,3.7311e-5,1.88632e-5,3.70524e-7,0.00179629
0.396875,0.282609,0.159375,0.277174,0.972713,0.0228048,8.90129e-5,0.00194403,5.07219e-5,3.03174e-5,3.78627e-7,0.0023676
0.396875,0.282609,0.159375,0.277174,0.987344,0.00702078,8.34708e-5,0.00308202,7.96692e-5,4.43418e-5,5.21156e-7,0.00234567
0.396875,0.282609,0.159375,0.277174,0.988637,0.00729148,7.54919e-5,0.00203567,4.81396e-5,2.94929e-5,3.41768e-7,0.00188278
0.396875,0.282609,0.159375,0.277174,0.985477,0.0116497,6.35894e-5,0.0014993,2.52485e-5,1.65178e-5,2.11705e-7,0.00126879
0.396875,0.282609,0.159375,0.277174,0.983384,0.0146203,6.04765e-5,0.00113564,1.35587e-5,1.18081e-5,1.58575e-7,7.7392e-4
0.396875,0.282609,0.159375,0.277174,0.923149,0.0752598,1.63214e-5,5.36566e-4,5.78621e-6,4.58844e-6,4.52803e-8,0.00102796
0.396875,0.282609,0.159375,0.277174,0.820449,0.178106,2.13461e-5,3.60412e-4,4.23616e-6,4.64574e-6,4.51253e-8,0.0010541
0.396875,0.282609,0.159375,0.277174,0.659809,0.337995,1.93957e-4,7.53958e-4,1.03282e-5,2.81728e-5,3.87007e-7,0.00120856
0.396875,0.282609,0.159375,0.277174,0.647816,0.349729,4.49856e-4,7.87316e-4,1.90101e-5,5.82812e-5,6.71834e-7,0.00113925
0.396875,0.282609,0.159375,0.277174,0.754658,0.243039,3.6216e-4,7.59584e-4,1.50143e-5,4.20801e-5,4.54827e-7,0.00112449
0.396875,0.282609,0.1625,0.282609,0.881973,0.116275,1.33839e-4,8.38773e-4,1.18239e-5,1.4435e-5,2.18835e-7,7.52804e-4
