x,y,width,height,scores.neutral,scores.happiness,scores.surprise,scores.sadness,scores.anger,scores.disgust,scores.fear,scores.contempt
0.440625,0.377778,0.146875,0.261111,0.691091,0.290386,6.76057e-4,0.0117604,7.95478e-5,6.47977e-4,5.17803e-6,0.00535397
0.440625,0.377778,0.146875,0.261111,0.690685,0.290824,6.7301e-4,0.0117301,7.91111e-5,6.45712e-4,5.14096e-6,0.00535858
0.440625,0.377778,0.146875,0.261111,0.758192,0.22591,0.0010007,0.0100691,1.07356e-4,7.1457e-4,3.98601e-6,0.00400246
0.440625,0.377778,0.146875,0.261111,0.651488,0.33026,0.00121137,0.0104341,9.41032e-5,7.17478e-4,5.781e-6,0.00578937
0.440625,0.377778,0.14375,0.255556,0.761885,0.208104,0.00131388,0.0183665,2.21814e-4,7.21055e-4,2.70551e-5,0.00936073
0.440625,0.377778,0.14375,0.255556,0.752191,0.22063,0.00103929,0.0144972,1.27867e-4,5.28608e-4,2.04962e-5,0.0109655
0.440625,0.377778,0.14375,0.255556,0.715576,0.260934,5.98118e-4,0.0111895,4.96325e-5,3.02805e-4,6.61934e-6,0.0113435
0.440625,0.377778,0.14375,0.255556,0.719368,0.261306,6.93744e-4,0.0082858,4.47172e-5,2.48512e-4,5.1733e-6,0.0100479
0.440625,0.377778,0.14375,0.255556,0.775266,0.203395,2.64021e-4,0.0108897,4.0948e-5,1.95037e-4,3.27745e-6,0.00994555
0.440625,0.377778,0.14375,0.255556,0.787678,0.188358,2.43714e-4,0.013113,4.33852e-5,1.81283e-4,4.41033e-6,0.0103792
0.440625,0.377778,0.14375,0.255556,0.842104,0.135156,2.11801e-4,0.0141981,4.11269e-5,1.79851e-4,3.966e-6,0.00810466
0.440625,0.377778,0.14375,0.255556,0.881656,0.101463,1.32445e-4,0.0124819,3.31633e-5,1.08931e-4,1.17836e-6,0.00412377
0.440625,0.377778,0.14375,0.255556,0.909392,0.0720469,1.14685e-4,0.014504,3.81107e-5,9.06468e-5,1.23111e-6,0.0038128
0.440625,0.377778,0.14375,0.255556,0.927868,0.0447576,7.2534e-5,0.022941,4.09715e-5,9.55209e-5,1.64808e-6,0.00422289
0.440625,0.377778,0.14375,0.255556,0.90592,0.0637385,9.84708e-5,0.025393,4.23082e-5,1.07641e-4,2.18128e-6,0.00469818
0.440625,0.377778,0.14375,0.255556,0.903532,0.0645246,1.36894e-4,0.0264514,7.21411e-5,1.40417e-4,4.03608e-6,0.00513804
0.440625,0.377778,0.14375,0.255556,0.81908,0.15042,1.74391e-4,0.0221653,6.77477e-5,1.59071e-4,5.69321e-6,0.00792691
0.44375,0.377778,0.14375,0.255556,0.80695,0.175293,2.45108e-4,0.0103885,4.66872e-5,1.07185e-4,4.05683e-6,0.00696524
0.44375,0.377778,0.14375,0.255556,0.821467,0.156235,5.06323e-4,0.0132276,6.51334e-5,1.68852e-4,8.61313e-6,0.00832069
0.44375,0.377778,0.14375,0.255556,0.875469,0.0982731,3.94476e-4,0.0166736,8.07844e-5,1.94572e-4,1.00298e-5,0.00890434
0.44375,0.377778,0.14375,0.255556,0.88638,0.0880898,3.65301e-4,0.0170124,7.02466e-5,1.73901e-4,9.44959e-6,0.00789846
0.446875,0.377778,0.14375,0.255556,0.910411,0.0628064,6.42519e-4,0.017218,1.06133e-4,2.27266e-4,1.56239e-5,0.00857323
0.446875,0.377778,0.14375,0.255556,0.938923,0.0445167,2.33576e-4,0.0131568,2.70846e-5,9.45899e-5,1.70024e-6,0.00304658
0.446875,0.377778,0.14375,0.255556,0.929484,0.051019,1.39823e-4,0.0174341,2.12221e-5,5.88214e-5,9.27747e-7,0.00184242
0.446875,0.377778,0.14375,0.255556,0.940849,0.0359233,1.29956e-4,0.0215872,1.01757e-5,3.90814e-5,6.16438e-7,0.00146041
0.446875,0.377778,0.14375,0.255556,0.93266,0.0489213,1.99142e-4,0.0163338,1.28592e-5,4.38173e-5,8.78414e-7,0.00182785
0.446875,0.377778,0.140625,0.25,0.836922,0.141247,1.3512e-4,0.0182089,1.3012e-5,6.1693e-5,9.54098e-7,0.00341108
0.446875,0.372222,0.140625,0.25,0.860938,0.119602,2.04378e-4,0.0169534,8.31554e-6,4.1091e-5,8.6148e-7,0.00225286
0.446875,0.366667,0.140625,0.25,0.888142,0.0856607,2.23671e-4,0.0187329,1.84247e-5,8.15433e-5,2.51126e-6,0.00713808
0.446875,0.366667,0.140625,0.25,0.898979,0.0762124,1.28213e-4,0.0209478,1.28235e-5,7.1208e-5,9.82989e-7,0.00364721
0.446875,0.366667,0.140625,0.25,0.865159,0.0991696,3.39807e-4,0.0288201,5.10931e-5,2.39754e-4,6.08882e-6,0.00621449
0.446875,0.361111,0.140625,0.25,0.928149,0.0405023,2.64165e-4,0.0261476,4.50729e-5,1.1364e-4,3.12305e-6,0.00477556
0.446875,0.361111,0.140625,0.25,0.911604,0.0674457,2.31937e-4,0.0173049,3.02698e-5,1.14989e-4,2.40374e-6,0.00326607
0.44375,0.361111,0.140625,0.25,0.887061,0.0769828,2.27645e-4,0.0302456,4.30809e-5,2.34932e-4,4.62645e-6,0.00520001
0.44375,0.361111,0.140625,0.25,0.872176,0.111479,1.54956e-4,0.0132656,1.45373e-5,1.24767e-4,9.80256e-7,0.00278469
0.44375,0.361111,0.140625,0.25,0.788101,0.192798,1.66397e-4,0.0158149,8.6726e-6,8.80928e-5,1.0263e-6,0.00302196
0.44375,0.355556,0.140625,0.25,0.776959,0.21234,1.13624e-4,0.00814781,1.19881e-5,7.0954e-5,4.09827e-7,0.00235669
0.440625,0.355556,0.140625,0.25,0.730302,0.253162,5.15989e-5,0.0139976,4.25262e-6,5.17022e-5,2.99951e-7,0.00243106
0.4375,0.35,0.140625,0.25,0.659165,0.325965,3.62418e-4,0.0102648,3.1523e-5,1.05129e-4,2.7429e-6,0.00410388
0.434375,0.35,0.140625,0.25,0.662242,0.320829,1.66413e-4,0.0102002,4.54836e-5,1.55791e-4,2.08652e-6,0.00635956
0.43125,0.35,0.140625,0.25,0.662382,0.316163,2.53246e-4,0.0158083,5.54108e-5,1.74188e-4,5.48548e-6,0.0051589
0.425,0.35,0.140625,0.25,0.742054,0.235345,1.76542e-4,0.0169095,3.85965e-5,1.51918e-4,3.30679e-6,0.0053215
0.421875,0.35,0.140625,0.25,0.719793,0.246305,3.8871e-4,0.0235169,1.34806e-4,3.53129e-4,2.0544e-5,0.00948803
0.41875,0.35,0.140625,0.25,0.614813,0.363094,3.74308e-4,0.0150949,1.03279e-4,2.21458e-4,8.74586e-6,0.00628974
0.4125,0.35,0.140625,0.25,0.604917,0.366695,3.84271e-4,0.0198401,1.16179e-4,3.39094e-4,1.37373e-5,0.00769468
0.40625,0.344444,0.140625,0.25,0.62413,0.358731,1.09e-4,0.0120939,1.97123e-5,1.18764e-4,1.48543e-6,0.00479656
0.4,0.338889,0.140625,0.25,0.716362,0.265837,1.75048e-4,0.0111686,2.99497e-5,1.18496e-4,4.09145e-6,0.00630485
0.39375,0.333333,0.140625,0.25,0.528146,0.456171,1.35289e-4,0.00724325,1.78071e-5,7.65508e-5,3.78387e-6,0.0082058
0.3875,0.322222,0.14375,0.255556,0.752265,0.237077,7.59869e-5,0.00352629,3.10333e-5,6.95663e-5,8.26682e-7,0.00695344
0.38125,0.316667,0.146875,0.261111,0.642451,0.354064,4.4124e-5,7.53628e-4,8.97942e-6,2.53399e-5,2.74512e-7,0.00265282
0.375,0.311111,0.15,0.266667,0.667332,0.329388,1.16953e-4,8.26268e-4,8.12761e-6,2.21696e-5,5.66193e-7,0.00230592
0.371875,0.305556,0.15,0.266667,0.685707,0.313013,2.67992e-5,1.93554e-4,9.74845e-7,3.27857e-6,3.17844e-8,0.00105534
0.36875,0.3,0.15,0.266667,0.588852,0.410174,2.06096e-5,1.33341e-4,6.08581e-7,2.58928e-6,1.47828e-8,8.16326e-4
0.365625,0.294444,0.15,0.266667,0.517391,0.481257,2.56964e-5,8.17172e-5,2.20759e-6,8.05747e-6,1.81252e-8,0.00123426
0.3625,0.288889,0.15,0.266667,0.576875,0.422217,2.96093e-5,3.21865e-5,1.22847e-6,6.4498e-6,5.78126e-9,8.38899e-4
