x,y,width,height,scores.neutral,scores.happiness,scores.surprise,scores.sadness,scores.anger,scores.disgust,scores.fear,scores.contempt
0.453125,0.388889,0.08125,0.144444,0.969117,0.0124955,0.00455434,0.0110097,1.77456e-4,3.92276e-4,9.50491e-5,0.00215893
0.453125,0.383333,0.08125,0.144444,0.941297,0.0494702,0.00182693,0.0048113,3.82627e-5,1.18494e-4,1.22655e-5,0.00242585
0.453125,0.383333,0.08125,0.144444,0.913619,0.0794284,9.8714e-4,0.00282982,2.31898e-5,8.89155e-5,7.3439e-6,0.00301638
0.453125,0.383333,0.08125,0.144444,0.824812,0.166423,0.00105177,0.00259646,2.34903e-5,8.17688e-5,8.38252e-6,0.00500348
0.453125,0.383333,0.08125,0.144444,0.86546,0.122398,0.00184949,0.00376136,1.09163e-4,2.84594e-4,2.48572e-5,0.00611267
0.45,0.383333,0.08125,0.144444,0.891306,0.0860063,0.00923444,0.00655144,2.90984e-4,0.00165155,8.01149e-5,0.00487874
0.45,0.383333,0.08125,0.144444,0.942234,0.0427297,0.00256541,0.00673988,1.54434e-4,8.93957e-4,3.56417e-5,0.00464663
0.45,0.377778,0.08125,0.144444,0.920451,0.0699541,0.00182698,0.00421301,8.92501e-5,5.68295e-4,1.63458e-5,0.00288075
0.45,0.377778,0.08125,0.144444,0.735248,0.258829,0.00105246,0.00125025,1.06297e-5,8.80048e-5,4.21889e-6,0.00351756
0.45,0.377778,0.08125,0.144444,0.794485,0.188436,0.005741,0.00278322,1.64456e-5,1.3927e-4,1.48397e-5,0.0083849
0.45,0.377778,0.08125,0.144444,0.758439,0.217785,0.0131875,0.00228755,2.60833e-5,1.43804e-4,2.54636e-5,0.00810574
0.446875,0.377778,0.08125,0.144444,0.835906,0.155442,0.00211545,0.00135666,2.64598e-5,1.31658e-4,4.05413e-6,0.0050183
0.446875,0.377778,0.08125,0.144444,0.627627,0.364428,0.00149505,0.00235147,5.36788e-5,1.74563e-4,1.3758e-5,0.00385627
0.446875,0.372222,0.08125,0.144444,0.393491,0.592736,0.00523871,0.00283969,5.69821e-5,3.0361e-4,4.46923e-5,0.00528977
0.44375,0.372222,0.08125,0.144444,0.69568,0.260358,0.0218441,0.00930602,4.46131e-4,0.00172487,4.20253e-4,0.0102206
0.44375,0.366667,0.08125,0.144444,0.699056,0.271816,0.00948786,0.0126717,3.14519e-4,0.00104322,1.59984e-4,0.00545156
0.44375,0.366667,0.08125,0.144444,0.557036,0.386014,0.020965,0.0329631,1.52915e-4,7.05628e-4,4.87274e-4,0.00167551
0.440625,0.366667,0.08125,0.144444,0.57681,0.350881,0.0166555,0.0458902,0.00143398,0.00273301,0.00114348,0.00445289
0.4375,0.361111,0.084375,0.15,0.438602,0.522122,0.0115983,0.0153313,0.0011612,0.0029452,3.40092e-4,0.00790004
0.4375,0.361111,0.084375,0.15,0.296482,0.642804,0.0178564,0.0324058,0.00189369,0.00351947,6.54933e-4,0.00438414
0.4375,0.361111,0.084375,0.15,0.247946,0.725499,0.00631215,0.0165971,2.57552e-4,0.00100206,1.1488e-4,0.00227184
0.4375,0.361111,0.084375,0.15,0.127236,0.86534199999999994,0.00169915,0.00392403,7.82022e-5,2.96212e-4,2.46301e-5,0.00139959
0.4375,0.361111,0.084375,0.15,0.146196,0.844254,0.00199988,0.00490528,1.07861e-4,4.38106e-4,3.416e-5,0.00206481
0.4375,0.361111,0.084375,0.15,0.213811,0.772648,0.00190283,0.00763331,1.62152e-4,5.69926e-4,5.41998e-5,0.00321828
0.4375,0.361111,0.084375,0.15,0.345335,0.634135,0.00763131,0.00698104,2.3439e-4,9.51275e-4,1.19916e-4,0.00461143
0.4375,0.361111,0.084375,0.15,0.207187,0.784841,0.00273679,0.00168361,6.46987e-5,2.47519e-4,1.86314e-5,0.00322075
0.4375,0.361111,0.084375,0.15,0.13553,0.861621,2.67764e-4,9.64151e-4,1.18999e-5,4.78253e-5,2.14392e-6,0.00155542
0.4375,0.355556,0.084375,0.15,0.579657,0.414515,4.19664e-4,0.00233988,4.84365e-5,1.05638e-4,7.22261e-6,0.00290748
0.4375,0.355556,0.084375,0.15,0.445267,0.545878,9.23992e-4,0.00508681,9.10559e-5,3.26734e-4,2.5581e-5,0.0024003
0.4375,0.35,0.084375,0.15,0.770961,0.219898,6.20618e-4,0.00333186,1.4692e-4,1.52205e-4,2.05649e-5,0.00486899
0.4375,0.35,0.084375,0.15,0.618114,0.376881,3.99207e-4,0.00147965,1.00081e-4,1.85121e-4,6.98863e-6,0.00283368
0.4375,0.35,0.0875,0.155556,0.525892,0.462494,4.7777e-4,0.0049761,9.11688e-5,1.88713e-4,9.04639e-6,0.00587094
0.4375,0.35,0.0875,0.155556,0.421726,0.573473,4.31134e-4,0.00223817,2.39774e-5,7.84779e-5,2.44137e-6,0.00202678
0.4375,0.344444,0.0875,0.155556,0.692624,0.290161,6.60079e-4,0.0116386,1.04748e-4,2.65615e-4,3.65022e-5,0.0045095
0.4375,0.344444,0.0875,0.155556,0.811253,0.174403,7.36488e-4,0.0106692,3.86923e-5,1.10846e-4,2.76965e-5,0.0027613
0.4375,0.344444,0.0875,0.155556,0.825524,0.162943,3.999e-4,0.00742959,5.69742e-5,1.15054e-4,1.41308e-5,0.00351742
0.4375,0.344444,0.090625,0.161111,0.380077,0.603713,0.00529638,0.00563234,3.94761e-4,6.47979e-4,1.00274e-4,0.00413825
0.4375,0.344444,0.090625,0.161111,0.414235,0.576706,0.00227663,0.00217044,1.72458e-4,1.99354e-4,3.25961e-5,0.00420765
0.4375,0.344444,0.090625,0.161111,0.411739,0.573608,0.0026879,0.00650186,2.43035e-4,3.48005e-4,1.01777e-4,0.00477027
0.4375,0.338889,0.090625,0.161111,0.269272,0.724457,0.00105251,0.00108644,3.67982e-5,7.61397e-5,6.93251e-6,0.00401161
0.4375,0.338889,0.090625,0.161111,0.466679,0.523269,0.00123188,0.0035499,1.46954e-4,2.52892e-4,2.79449e-5,0.00484243
0.4375,0.333333,0.090625,0.161111,0.228551,0.767397,5.40807e-4,0.0016087,2.28476e-5,5.85154e-5,8.31169e-6,0.0018127
0.4375,0.333333,0.090625,0.161111,0.200955,0.79014,9.98468e-4,0.00425519,6.72218e-5,2.80846e-4,1.65918e-5,0.00328701
0.4375,0.333333,0.090625,0.161111,0.134908,0.859945,5.15572e-4,0.00160235,3.1137e-5,1.212e-4,3.5439e-6,0.00287316
0.4375,0.333333,0.090625,0.161111,0.192047,0.790128,0.00305499,0.0092249,5.3735e-4,9.52327e-4,1.22482e-4,0.0039323200000000004
0.4375,0.333333,0.09375,0.166667,0.150707,0.816974,0.00200097,0.0276475,2.34992e-4,4.28431e-4,1.10808e-4,0.00189572
0.4375,0.333333,0.09375,0.166667,0.0864562,0.894825,0.00121057,0.0160791,8.48096e-5,2.43293e-4,3.81886e-5,0.00106255
0.434375,0.327778,0.09375,0.166667,0.194124,0.778429,0.00468759,0.0147514,5.88485e-4,0.00142374,2.82273e-4,0.00571398
0.434375,0.327778,0.09375,0.166667,0.0670857,0.925588,0.00162753,0.00389044,4.93834e-5,2.91597e-4,1.79949e-5,0.00144909
0.434375,0.327778,0.09375,0.166667,0.186606,0.785206,0.00729866,0.0110045,8.39552e-4,0.00323504,1.78516e-4,0.00563178
0.434375,0.322222,0.096875,0.172222,0.302988,0.686853,0.0040862,0.00235598,8.52992e-5,2.07786e-4,3.95861e-5,0.00338355
0.434375,0.316667,0.096875,0.172222,0.502093,0.489673,0.00168168,0.00252744,6.2239e-5,1.3361e-4,1.72324e-5,0.00381157
